Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
2233.0,027,015,1.0
2671.0,006,017,1.0
2101.0,013,022,1.0
2171.0,013,070,1.0
5436.0,027,027,1.0
4233.0,016,009,1.0
5117.0,008,026,1.0
2238.0,003,004,1.0
5472.0,006,016,1.0
5535.0,026,017,1.0
2238.0,024,014,1.0
2620.0,009,008,1.0
6018.0,030,016,1.0
2022.0,022,027,1.0
5069.0,012,028,1.0
5527.0,032,028,1.0
2106.0,010,003,1.0
2637.0,031,023,1.0
4321.0,012,059,1.0
5034.0,007,014,1.0
2169.0,008,015,1.0
2326.0,014,022,1.0
2033.0,024,008,1.0
2013.0,012,028,1.0
2114.0,009,031,1.0
2325.0,020,033,1.0
2415.0,011,037,1.0
5590.0,018,008,1.0
5016.0,036,023,1.0
2377.0,011,007,1.0
2257.0,014,043,1.0
4332.0,005,009,1.0
2301.0,014,009,1.0
2616.0,014,005,1.0
2074.0,004,031,1.0
2536.0,003,023,1.0
2167.0,016,002,1.0
2248.0,012,025,1.0
2627.0,025,007,1.0
2712.0,001,020,1.0
2038.0,018,032,1.0
2146.0,012,022,1.0
2309.0,011,001,1.0
5190.0,023,028,1.0
5477.0,016,007,1.0
2233.0,011,007,1.0
5033.0,020,025,1.0
2156.0,008,031,1.0
2286.0,008,005,1.0
2237.0,011,004,1.0
5504.0,002,012,1.0
5085.0,022,009,1.0
5050.0,025,043,1.0
5420.0,014,005,1.0
2365.0,020,009,1.0
2634.0,038,016,1.0
2558.0,020,008,1.0
2558.0,026,026,1.0
2023.0,007,001,1.0
2633.0,017,029,1.0
2111.0,007,013,1.0
2322.0,021,024,1.0
2023.0,016,009,1.0
2532.0,005,001,1.0
2571.0,015,038,1.0
5016.0,021,025,1.0
2503.0,011,005,1.0
4318.0,028,018,1.0
2020.0,020,014,1.0
2678.0,007,013,1.0
2254.0,022,001,1.0
2535.0,004,007,1.0
2024.0,020,010,1.0
2354.0,009,034,1.0
7462.0,010,005,1.0
2113.0,010,008,1.0
2024.0,021,030,1.0
2530.0,010,027,1.0
2559.0,025,006,1.0
2305.0,020,015,1.0
2310.0,001,019,1.0
5054.0,009,011,1.0
2034.0,005,022,1.0
2781.0,032,010,1.0
7446.0,016,012,1.0
2259.0,006,009,1.0
5021.0,027,031,1.0
2209.0,018,001,1.0
2651.0,020,031,1.0
4241.0,015,019,1.0
5207.0,012,008,1.0
6019.0,005,009,1.0
5022.0,004,005,1.0
2696.0,019,017,1.0
5549.0,014,003,1.0
5001.0,007,025,1.0
6048.0,021,014,1.0
7421.0,003,005,1.0
2038.0,017,006,1.0
5437.0,017,018,1.0
2648.0,011,012,1.0
2161.0,010,015,1.0
5087.0,020,007,1.0
2220.0,015,019,1.0
2136.0,024,014,1.0
2305.0,020,003,1.0
2637.0,024,024,1.0
6018.0,010,027,1.0
5689.0,009,007,1.0
2513.0,018,042,1.0
4322.0,005,017,1.0
2233.0,023,012,1.0
2623.0,002,004,1.0
5474.0,016,008,1.0
2405.0,014,003,1.0
2558.0,037,010,1.0
2324.0,018,008,1.0
2340.0,034,008,1.0
2028.0,034,012,1.0
2106.0,015,008,1.0
6042.0,016,003,1.0
2136.0,018,018,1.0
2233.0,002,029,1.0
2244.0,018,017,1.0
2536.0,006,015,1.0
2369.0,007,006,1.0
2405.0,019,034,1.0
2382.0,011,013,1.0
5116.0,016,020,1.0
2326.0,003,017,1.0
2328.0,012,030,1.0
2265.0,018,019,1.0
2613.0,019,012,1.0
2616.0,007,005,1.0
2244.0,020,016,1.0
4315.0,001,047,1.0
2228.0,016,010,1.0
2146.0,015,021,1.0
5046.0,027,012,1.0
